date,schools,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
28/06/2021,-40,-3,14,20,-15,-16,3
29/06/2021,-40,-5,11,19,-15,-16,2
30/06/2021,-40,-1,11,29,-13,-16,1
01/07/2021,-40,-2,10,32,-13,-22,3
02/07/2021,-40,-1,10,59,-16,-27,1
03/07/2021,-40,-17,-1,14,-24,-8,-1
04/07/2021,-40,-3,11,29,-13,-20,3
05/07/2021,-40,-1,14,26,-14,-20,4
06/07/2021,-40,-2,13,28,-13,-20,4
07/07/2021,-40,0,12,33,-11,-21,3
08/07/2021,-40,-1,11,37,-13,-21,3
09/07/2021,-40,1,11,68,-15,-27,0
10/07/2021,-40,-14,1,21,-23,-7,-1
11/07/2021,-40,-4,14,26,-13,-21,3
12/07/2021,-40,-2,15,19,-14,-21,5
13/07/2021,-40,-2,14,23,-13,-21,4
14/07/2021,-40,-1,14,29,-11,-20,4
15/07/2021,-40,-2,12,29,-13,-22,4
16/07/2021,-40,-1,12,49,-15,-26,2
17/07/2021,-40,-32,-8,8,-28,-12,2
18/07/2021,-40,-16,5,7,-28,-36,11
19/07/2021,-40,3,15,23,-13,-24,5
20/07/2021,-40,2,12,39,-10,-26,5
21/07/2021,-40,4,13,56,-11,-26,4
22/07/2021,-60,3,12,63,-14,-28,4
23/07/2021,-60,3,12,83,-16,-30,1
24/07/2021,-60,-12,0,31,-24,-9,-1
25/07/2021,-60,0,10,40,-14,-25,4
26/07/2021,-60,2,13,37,-15,-25,5
27/07/2021,-60,2,12,44,-14,-26,4
28/07/2021,-60,3,13,48,-12,-25,4
29/07/2021,-60,1,10,47,-14,-27,4
30/07/2021,-60,-1,10,69,-16,-28,1
31/07/2021,-60,-16,-1,23,-24,-7,0
01/08/2021,-80,-1,11,37,-15,-26,4
02/08/2021,-80,1,14,33,-15,-26,5
03/08/2021,-80,0,13,36,-14,-27,5
04/08/2021,-80,1,12,44,-14,-26,5
05/08/2021,-80,0,11,41,-15,-28,5
06/08/2021,-80,-3,10,62,-17,-29,2
07/08/2021,-80,-19,-3,18,-26,-10,1
08/08/2021,-80,-1,12,37,-15,-27,5
09/08/2021,-80,2,15,36,-16,-28,6
